"","RunningID","IUID","ScenStart","ScenFut","Endemicity"
"702",702,"NGA36795","IA","65A.xIA","Endemic (under MDA)"
"703",703,"NGA36656","IA","65A.xIA","Endemic (under MDA)"
"705",705,"SDN53340","IA","65A.xIA","Unknown"
"706",706,"SDN53313","IA","65A.xIA","Unknown"
"707",707,"SDN53236","IA","65A.xIA","Unknown"
"709",709,"GNB23687","IA","65A.xIA","Not reported"
"710",710,"GNB23701","IA","65A.xIA","Not reported"
"711",711,"MLI29998","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"712",712,"MLI30020","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"713",713,"BFA53004","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"714",714,"BFA05323","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"716",716,"NGA37103","IA","65A.xIA","Endemic (under MDA)"
"717",717,"NGA36777","IA","65A.xIA","Endemic (under MDA)"
"718",718,"NGA36745","IA","65A.xIA","Endemic (under MDA)"
"719",719,"NGA36681","IA","65A.xIA","Endemic (under MDA)"
"720",720,"NGA37084","IA","65A.xIA","Endemic (under MDA)"
"725",725,"SDN53224","IA","65A.xIA","Unknown"
"727",727,"GNB23692","IA","65A.xIA","Not reported"
"728",728,"GNB23737","IA","65A.xIA","Not reported"
"729",729,"GNB23667","IA","65A.xIA","Not reported"
"730",730,"GNB23723","IA","65A.xIA","Not reported"
"731",731,"NGA37100","IA","65A.xIA","Endemic (under MDA)"
"732",732,"NGA37097","IA","65A.xIA","Endemic (under MDA)"
"733",733,"NGA36756","IA","65A.xIA","Endemic (under MDA)"
"734",734,"NGA36710","IA","65A.xIA","Endemic (under MDA)"
"735",735,"NGA36677","IA","65A.xIA","Endemic (under MDA)"
"736",736,"NGA36670","IA","65A.xIA","Endemic (under MDA)"
"738",738,"NGA36496","IA","65A.xIA","Endemic (under MDA)"
"739",739,"SDN53334","IA","65A.xIA","Requiring PC"
"743",743,"GNB23761","IA","65A.xIA","Not reported"
"744",744,"GNB23663","IA","65A.xIA","Not reported"
"745",745,"GNB23656","IA","65A.xIA","Not reported"
"746",746,"GNB23728","IA","65A.xIA","Not reported"
"747",747,"GIN22607","IA","65A.xIA","Endemic (MDA not delivered)"
"748",748,"BFA05328","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"749",749,"NGA37102","IA","65A.xIA","Endemic (under MDA)"
"750",750,"NGA36740","IA","65A.xIA","Endemic (under MDA)"
"751",751,"NGA36735","IA","65A.xIA","Endemic (under MDA)"
"752",752,"NGA36718","IA","65A.xIA","Endemic (under MDA)"
"753",753,"NGA36678","IA","65A.xIA","Endemic (under MDA)"
"759",759,"GNB23699","IA","65A.xIA","Not reported"
"760",760,"GNB23685","IA","65A.xIA","Not reported"
"761",761,"MLI30003","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"762",762,"MLI30026","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"763",763,"NGA36790","IA","65A.xIA","Endemic (under MDA)"
"764",764,"NGA36797","IA","65A.xIA","Endemic (under MDA)"
"765",765,"NGA36794","IA","65A.xIA","Endemic (under MDA)"
"766",766,"NGA37050","IA","65A.xIA","Endemic (under MDA)"
"767",767,"NGA36778","IA","65A.xIA","Endemic (under MDA)"
"768",768,"NGA36714","IA","65A.xIA","Endemic (under MDA)"
"770",770,"SDN53329","IA","65A.xIA","Requiring PC"
"771",771,"SDN53331","IA","65A.xIA","Requiring PC"
"772",772,"SSD44381","IA","65A.xIA","Endemic (MDA not delivered)"
"773",773,"GNB23733","IA","65A.xIA","Not reported"
"774",774,"GNB23736","IA","65A.xIA","Not reported"
"775",775,"GNB23665","IA","65A.xIA","Not reported"
"776",776,"GNB23721","IA","65A.xIA","Not reported"
"778",778,"GIN22612","IA","65A.xIA","Endemic (MDA not delivered)"
"779",779,"BFA53003","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"780",780,"BFA05345","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"781",781,"NGA36768","IA","65A.xIA","Endemic (under MDA)"
"783",783,"SDN53215","IA","65A.xIA","Requiring PC"
"784",784,"GNB23686","IA","65A.xIA","Not reported"
"785",785,"GNB23689","IA","65A.xIA","Not reported"
"786",786,"GNB23731","IA","65A.xIA","Not reported"
"787",787,"GNB23734","IA","65A.xIA","Not reported"
"788",788,"GNB23713","IA","65A.xIA","Not reported"
"789",789,"BFA05342","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"790",790,"NGA37109","IA","65A.xIA","Endemic (under MDA)"
"791",791,"NGA36708","IA","65A.xIA","Endemic (under MDA)"
"792",792,"NGA36722","IA","65A.xIA","Endemic (under MDA)"
"793",793,"NGA36669","IA","65A.xIA","Endemic (under MDA)"
"794",794,"NGA36490","IA","65A.xIA","Endemic (under MDA)"
"796",796,"CMR07483","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"797",797,"SDN53222","IA","65A.xIA","Unknown"
"798",798,"SDN53316","IA","65A.xIA","Requiring PC"
"799",799,"SDN53320","IA","65A.xIA","Unknown"
"800",800,"SDN53237","IA","65A.xIA","Requiring PC"
"801",801,"SDN53258","IA","65A.xIA","Unknown"
"803",803,"GNB23694","IA","65A.xIA","Not reported"
"804",804,"GNB23657","IA","65A.xIA","Not reported"
"805",805,"GNB23660","IA","65A.xIA","Not reported"
"806",806,"GNB23710","IA","65A.xIA","Not reported"
"807",807,"BFA05353","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"808",808,"BFA05312","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"809",809,"NGA36791","IA","65A.xIA","Endemic (under MDA)"
"810",810,"NGA36744","IA","65A.xIA","Endemic (under MDA)"
"812",812,"SDN53311","IA","65A.xIA","Requiring PC"
"813",813,"SDN53240","IA","65A.xIA","Unknown"
"817",817,"GNB23738","IA","65A.xIA","Not reported"
"818",818,"GNB23730","IA","65A.xIA","Not reported"
"819",819,"NGA36706","IA","65A.xIA","Endemic (under MDA)"
"820",820,"ETH18616","IA","65A.xIA","Endemic (under MDA)"
"821",821,"GNB23693","IA","65A.xIA","Not reported"
"822",822,"GNB23690","IA","65A.xIA","Not reported"
"823",823,"GNB23645","IA","65A.xIA","Not reported"
"824",824,"GNB23682","IA","65A.xIA","Not reported"
"825",825,"GIN22640","IA","65A.xIA","Endemic (MDA not delivered)"
"826",826,"BFA53005","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"827",827,"BFA05327","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"828",828,"NGA36801","IA","65A.xIA","Endemic (under MDA)"
"829",829,"NGA36738","IA","65A.xIA","Endemic (under MDA)"
"830",830,"NGA36661","IA","65A.xIA","Endemic (under MDA)"
"831",831,"NGA36436","IA","65A.xIA","Endemic (under MDA)"
"832",832,"NGA37091","IA","65A.xIA","Endemic (under MDA)"
"833",833,"NGA37082","IA","65A.xIA","Endemic (under MDA)"
"835",835,"ETH18692","IA","65A.xIA","Endemic (under MDA)"
"839",839,"GNB23695","IA","65A.xIA","Not reported"
"840",840,"GNB23664","IA","65A.xIA","Not reported"
"841",841,"BFA05341","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"842",842,"BEN03215","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"843",843,"NGA36774","IA","65A.xIA","Endemic (under MDA)"
"844",844,"NGA36724","IA","65A.xIA","Endemic (under MDA)"
"845",845,"NGA36730","IA","65A.xIA","Endemic (under MDA)"
"846",846,"NGA36748","IA","65A.xIA","Endemic (under MDA)"
"847",847,"NGA36674","IA","65A.xIA","Endemic (under MDA)"
"849",849,"GNB23697","IA","65A.xIA","Not reported"
"850",850,"GNB23681","IA","65A.xIA","Not reported"
"851",851,"GNB23647","IA","65A.xIA","Not reported"
"852",852,"GNB23744","IA","65A.xIA","Not reported"
"853",853,"GNB23669","IA","65A.xIA","Not reported"
"854",854,"GIN22627","IA","65A.xIA","Endemic (MDA not delivered)"
"855",855,"BFA05357","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"856",856,"BFA05338","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"857",857,"BFA05343","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"858",858,"BFA05331","IA","65A.xIA","Endemic (under MDA)"
"859",859,"BFA05351","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"860",860,"NGA36725","IA","65A.xIA","Endemic (under MDA)"
"862",862,"SSD44378","IA","65A.xIA","Endemic (MDA not delivered)"
"864",864,"GNB23698","IA","65A.xIA","Not reported"
"865",865,"GNB23680","IA","65A.xIA","Not reported"
"866",866,"GNB23745","IA","65A.xIA","Not reported"
"867",867,"GNB23714","IA","65A.xIA","Not reported"
"868",868,"GNB23719","IA","65A.xIA","Not reported"
"869",869,"GNB23722","IA","65A.xIA","Not reported"
"870",870,"MLI30022","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"871",871,"NGA36762","IA","65A.xIA","Endemic (under MDA)"
"872",872,"NGA36749","IA","65A.xIA","Endemic (under MDA)"
"873",873,"NGA36721","IA","65A.xIA","Endemic (under MDA)"
"874",874,"SDN53232","IA","65A.xIA","Unknown"
"878",878,"GNB23646","IA","65A.xIA","Not reported"
"879",879,"GNB23742","IA","65A.xIA","Not reported"
"880",880,"BFA05355","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"882",882,"NGA36727","IA","65A.xIA","Endemic (under MDA)"
"883",883,"NGA36498","IA","65A.xIA","Endemic (under MDA)"
"886",886,"SDN53326","IA","65A.xIA","Requiring PC"
"889",889,"GNB23679","IA","65A.xIA","Not reported"
"890",890,"GNB23740","IA","65A.xIA","Not reported"
"891",891,"BFA05329","IA","65A.xIA","Endemic (under MDA)"
"893",893,"NGA36729","IA","65A.xIA","Endemic (under MDA)"
"894",894,"NGA36733","IA","65A.xIA","Endemic (under MDA)"
"897",897,"SDN53233","IA","65A.xIA","Unknown"
"898",898,"ETH18690","IA","65A.xIA","Endemic (under MDA)"
"900",900,"NGA36720","IA","65A.xIA","Endemic (under MDA)"
"901",901,"NGA36711","IA","65A.xIA","Endemic (under MDA)"
"902",902,"NGA36715","IA","65A.xIA","Endemic (under MDA)"
"905",905,"SDN53220","IA","65A.xIA","Requiring PC"
"907",907,"BFA05358","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"908",908,"NGA36792","IA","65A.xIA","Endemic (under MDA)"
"909",909,"NGA36802","IA","65A.xIA","Endemic (under MDA)"
"910",910,"NGA36804","IA","65A.xIA","Endemic (under MDA)"
"911",911,"NGA36707","IA","65A.xIA","Endemic (under MDA)"
"912",912,"NGA36658","IA","65A.xIA","Endemic (under MDA)"
"913",913,"NGA36660","IA","65A.xIA","Endemic (under MDA)"
"914",914,"SDN53228","IA","65A.xIA","Unknown"
"916",916,"ETH18664","IA","65A.xIA","Endemic (under MDA)"
"918",918,"GNB23684","IA","65A.xIA","Not reported"
"919",919,"GNB23758","IA","65A.xIA","Not reported"
"920",920,"GIN22606","IA","65A.xIA","Endemic (MDA not delivered)"
"922",922,"GIN22632","IA","65A.xIA","Endemic (MDA not delivered)"
"923",923,"MLI30027","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"925",925,"NGA36788","IA","65A.xIA","Endemic (under MDA)"
"926",926,"NGA36796","IA","65A.xIA","Endemic (under MDA)"
"927",927,"NGA36709","IA","65A.xIA","Endemic (under MDA)"
"928",928,"NGA36719","IA","65A.xIA","Endemic (under MDA)"
"930",930,"NGA37086","IA","65A.xIA","Endemic (under MDA)"
"933",933,"SDN53216","IA","65A.xIA","Requiring PC"
"934",934,"GNB23683","IA","65A.xIA","Not reported"
"935",935,"GNB23743","IA","65A.xIA","Not reported"
"936",936,"BFA05326","IA","65A.xIA","Endemic (under MDA)"
"938",938,"NGA36739","IA","65A.xIA","Endemic (under MDA)"
"939",939,"NGA36728","IA","65A.xIA","Endemic (under MDA)"
"940",940,"SDN53354","IA","65A.xIA","Requiring PC"
"945",945,"GNB23672","IA","65A.xIA","Not reported"
"947",947,"NGA36737","IA","65A.xIA","Endemic (under MDA)"
"948",948,"NGA36742","IA","65A.xIA","Endemic (under MDA)"
"950",950,"NGA36435","IA","65A.xIA","Endemic (under MDA)"
"952",952,"ETH18661","IA","65A.xIA","Endemic (under MDA)"
"954",954,"GNB23671","IA","65A.xIA","Not reported"
"955",955,"BFA05344","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"956",956,"NGA36800","IA","65A.xIA","Endemic (under MDA)"
"957",957,"NGA36757","IA","65A.xIA","Endemic (under MDA)"
"958",958,"NGA36741","IA","65A.xIA","Endemic (under MDA)"
"959",959,"NGA36440","IA","65A.xIA","Endemic (under MDA)"
"960",960,"SDN53314","IA","65A.xIA","Unknown"
"963",963,"GNB23655","IA","65A.xIA","Not reported"
"964",964,"GNB23760","IA","65A.xIA","Not reported"
"966",966,"NGA36687","IA","65A.xIA","Endemic (under MDA)"
"967",967,"NGA36484","IA","65A.xIA","Endemic (under MDA)"
"969",969,"SDN53335","IA","65A.xIA","Requiring PC"
"970",970,"SDN53332","IA","65A.xIA","Requiring PC"
"973",973,"GNB23741","IA","65A.xIA","Not reported"
"974",974,"GNB23756","IA","65A.xIA","Not reported"
"975",975,"GNB23754","IA","65A.xIA","Not reported"
"976",976,"MLI30028","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"977",977,"MLI30023","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"978",978,"MLI30025","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"979",979,"BFA05354","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"980",980,"BFA05352","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"981",981,"BFA05332","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"982",982,"BEN03225","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"983",983,"BEN03220","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"984",984,"NGA36780","IA","65A.xIA","Endemic (under MDA)"
"985",985,"NGA36700","IA","65A.xIA","Endemic (under MDA)"
"986",986,"NGA36746","IA","65A.xIA","Endemic (under MDA)"
"987",987,"NGA36666","IA","65A.xIA","Endemic (under MDA)"
"988",988,"NGA36431","IA","65A.xIA","Endemic (under MDA)"
"989",989,"CMR07495","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"991",991,"SDN53350","IA","65A.xIA","Unknown"
"994",994,"GNB23677","IA","65A.xIA","Not reported"
"995",995,"GIN22625","IA","65A.xIA","Endemic (MDA not delivered)"
"997",997,"NGA36799","IA","65A.xIA","Endemic (under MDA)"
"998",998,"SDN53234","IA","65A.xIA","Requiring PC"
"1004",1004,"GIN22639","IA","65A.xIA","Endemic (MDA not delivered)"
"1005",1005,"BFA05372","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1006",1006,"NGA36895","IA","65A.xIA","Endemic (under MDA)"
"1007",1007,"NGA36683","IA","65A.xIA","Endemic (under MDA)"
"1008",1008,"NGA36685","IA","65A.xIA","Endemic (under MDA)"
"1010",1010,"NGA36441","IA","65A.xIA","Endemic (under MDA)"
"1011",1011,"SDN53315","IA","65A.xIA","Requiring PC"
"1012",1012,"SDN53336","IA","65A.xIA","Requiring PC"
"1014",1014,"GIN22636","IA","65A.xIA","Endemic (MDA not delivered)"
"1015",1015,"NGA36626","IA","65A.xIA","Endemic (under MDA)"
"1016",1016,"CMR07482","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1017",1017,"SDN53235","IA","65A.xIA","Requiring PC"
"1019",1019,"GNB23676","IA","65A.xIA","Not reported"
"1020",1020,"GNB23670","IA","65A.xIA","Not reported"
"1021",1021,"GNB23757","IA","65A.xIA","Not reported"
"1022",1022,"GNB23759","IA","65A.xIA","Not reported"
"1023",1023,"GIN22611","IA","65A.xIA","Endemic (MDA not delivered)"
"1024",1024,"NGA36445","IA","65A.xIA","Endemic (under MDA)"
"1025",1025,"SDN53231","IA","65A.xIA","Requiring PC"
"1026",1026,"SDN53218","IA","65A.xIA","Requiring PC"
"1029",1029,"GNB23753","IA","65A.xIA","Not reported"
"1030",1030,"GIN22631","IA","65A.xIA","Endemic (MDA not delivered)"
"1031",1031,"NGA36701","IA","65A.xIA","Endemic (under MDA)"
"1032",1032,"NGA36716","IA","65A.xIA","Endemic (under MDA)"
"1033",1033,"NGA36621","IA","65A.xIA","Endemic (under MDA)"
"1034",1034,"NGA37087","IA","65A.xIA","Endemic (under MDA)"
"1035",1035,"TCD10750","IA","65A.xIA","Endemic (under MDA)"
"1036",1036,"SDN53238","IA","65A.xIA","Requiring PC"
"1037",1037,"SDN53333","IA","65A.xIA","Requiring PC"
"1041",1041,"GNB23673","IA","65A.xIA","Not reported"
"1042",1042,"GNB23643","IA","65A.xIA","Not reported"
"1043",1043,"GNB23674","IA","65A.xIA","Not reported"
"1044",1044,"BFA05356","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1046",1046,"NGA36803","IA","65A.xIA","Endemic (under MDA)"
"1047",1047,"NGA36703","IA","65A.xIA","Endemic (under MDA)"
"1048",1048,"SDN53324","IA","65A.xIA","Unknown"
"1049",1049,"ETH18701","IA","65A.xIA","Endemic (under MDA)"
"1051",1051,"GNB23755","IA","65A.xIA","Not reported"
"1052",1052,"GIN22610","IA","65A.xIA","Endemic (MDA not delivered)"
"1053",1053,"BFA05373","IA","65A.xIA","Endemic (under MDA)"
"1054",1054,"GHA21531","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1055",1055,"GHA21530","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1056",1056,"TGO48701","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1057",1057,"NGA36878","IA","65A.xIA","Endemic (under MDA)"
"1058",1058,"NGA36889","IA","65A.xIA","Endemic (under MDA)"
"1059",1059,"NGA36697","IA","65A.xIA","Endemic (under MDA)"
"1060",1060,"SDN53323","IA","65A.xIA","Unknown"
"1066",1066,"GHA21532","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1067",1067,"GHA21542","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1068",1068,"BEN03221","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1069",1069,"CMR07484","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1070",1070,"CMR07498","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1072",1072,"SDN53337","IA","65A.xIA","Requiring PC"
"1078",1078,"GIN22620","IA","65A.xIA","Endemic (MDA not delivered)"
"1079",1079,"MLI30021","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1080",1080,"TGO48705","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1081",1081,"NGA36798","IA","65A.xIA","Endemic (under MDA)"
"1082",1082,"NGA36434","IA","65A.xIA","Endemic (under MDA)"
"1083",1083,"NGA36482","IA","65A.xIA","Endemic (under MDA)"
"1084",1084,"CMR07473","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1085",1085,"CMR07486","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1086",1086,"SDN53353","IA","65A.xIA","Requiring PC"
"1092",1092,"BFA05320","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1093",1093,"GHA21549","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1094",1094,"GHA21546","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1095",1095,"GHA21551","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1096",1096,"GHA21550","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1097",1097,"GHA21540","IA","65A.xIA","Endemic (under MDA)"
"1098",1098,"GHA21539","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1099",1099,"GHA21534","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1100",1100,"GHA21538","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1102",1102,"NGA36876","IA","65A.xIA","Endemic (MDA not delivered)"
"1103",1103,"NGA36686","IA","65A.xIA","Endemic (under MDA)"
"1104",1104,"NGA36622","IA","65A.xIA","Endemic (under MDA)"
"1106",1106,"SDN53310","IA","65A.xIA","Unknown"
"1107",1107,"SDN53309","IA","65A.xIA","Unknown"
"1108",1108,"SDN53347","IA","65A.xIA","Unknown"
"1111",1111,"TCD10714","IA","65A.xIA","Endemic (under MDA)"
"1112",1112,"CAF09659","IA","65A.xIA","Endemicity unknown"
"1119",1119,"GHA21541","IA","65A.xIA","Endemic (under MDA)"
"1122",1122,"CMR07489","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1123",1123,"SDN53312","IA","65A.xIA","Unknown"
"1124",1124,"SDN53327","IA","65A.xIA","Requiring PC"
"1130",1130,"BFA05318","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1131",1131,"GHA21536","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1132",1132,"GHA21533","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1135",1135,"ETH18702","IA","65A.xIA","Endemic (MDA not delivered)"
"1136",1136,"ETH18561","IA","65A.xIA","Endemic (under MDA)"
"1140",1140,"BFA05319","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1142",1142,"NGA36444","IA","65A.xIA","Endemic (under MDA)"
"1143",1143,"NGA36479","IA","65A.xIA","Endemic (under MDA)"
"1144",1144,"CMR07494","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1145",1145,"CMR07500","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1147",1147,"SSD44379","IA","65A.xIA","Endemic (MDA not delivered)"
"1154",1154,"CMR07490","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1157",1157,"CIV15401","IA","65A.xIA","Endemic (under MDA)"
"1158",1158,"BFA05374","IA","65A.xIA","Endemic (under MDA)"
"1159",1159,"GHA21547","IA","65A.xIA","Endemic (under MDA)"
"1160",1160,"GHA21545","IA","65A.xIA","Endemic (under MDA)"
"1161",1161,"GHA21543","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1162",1162,"BEN03226","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1163",1163,"NGA36888","IA","65A.xIA","Endemic (under MDA)"
"1164",1164,"NGA36366","IA","65A.xIA","Endemic (under MDA)"
"1169",1169,"GHA21504","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1171",1171,"NGA36885","IA","65A.xIA","Endemic (under MDA)"
"1173",1173,"NGA36625","IA","65A.xIA","Endemic (under MDA)"
"1174",1174,"CMR07499","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1175",1175,"SSD44375","IA","65A.xIA","Endemic (MDA not delivered)"
"1183",1183,"GHA21508","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1186",1186,"NGA36896","IA","65A.xIA","Endemic (under MDA)"
"1187",1187,"NGA36691","IA","65A.xIA","Endemic (under MDA)"
"1188",1188,"NGA36696","IA","65A.xIA","Endemic (MDA not delivered)"
"1189",1189,"NGA36699","IA","65A.xIA","Endemic (under MDA)"
"1191",1191,"NGA36489","IA","65A.xIA","Endemic (under MDA)"
"1192",1192,"CMR07491","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1193",1193,"CMR07496","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1197",1197,"GIN22622","IA","65A.xIA","Endemic (MDA not delivered)"
"1198",1198,"GHA21537","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1199",1199,"NGA36628","IA","65A.xIA","Endemic (under MDA)"
"1202",1202,"GIN22615","IA","65A.xIA","Endemic (MDA not delivered)"
"1203",1203,"GHA21527","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1207",1207,"NGA36894","IA","65A.xIA","Endemic (under MDA)"
"1213",1213,"GHA21544","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1216",1216,"CMR07492","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1217",1217,"CMR07501","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1218",1218,"TCD10717","IA","65A.xIA","Endemic (under MDA)"
"1219",1219,"ETH18698","IA","65A.xIA","Endemic (MDA not delivered)"
"1222",1222,"CIV15400","IA","65A.xIA","Endemic (under MDA)"
"1223",1223,"GHA21548","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1224",1224,"BEN03217","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1226",1226,"NGA36367","IA","65A.xIA","Endemic (under MDA)"
"1227",1227,"CMR07493","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1228",1228,"CMR07479","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1229",1229,"CMR07488","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1230",1230,"TCD10720","IA","65A.xIA","Endemic (under MDA)"
"1231",1231,"ETH18693","IA","65A.xIA","Endemic (MDA not delivered)"
"1232",1232,"ETH18699","IA","65A.xIA","Endemic (MDA not delivered)"
"1234",1234,"GHA21506","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1236",1236,"NGA36357","IA","65A.xIA","Endemic (under MDA)"
"1237",1237,"CMR07475","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1238",1238,"ETH18704","IA","65A.xIA","Endemic (under MDA)"
"1242",1242,"CIV15399","IA","65A.xIA","Endemic (under MDA)"
"1243",1243,"GHA21513","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1244",1244,"GHA21509","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1245",1245,"CMR07481","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1250",1250,"GHA21552","IA","65A.xIA","Endemic (under MDA)"
"1251",1251,"NGA37002","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1252",1252,"NGA36623","IA","65A.xIA","Endemic (under MDA)"
"1253",1253,"NGA36504","IA","65A.xIA","Endemic (under MDA)"
"1254",1254,"CMR07497","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1255",1255,"CMR07502","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1257",1257,"ETH18760","IA","65A.xIA","Endemic (MDA not delivered)"
"1260",1260,"BFA53007","IA","65A.xIA","Endemic (under MDA)"
"1261",1261,"NGA36427","IA","65A.xIA","Endemic (under MDA)"
"1262",1262,"NGA36370","IA","65A.xIA","Endemic (under MDA)"
"1263",1263,"CMR07480","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1264",1264,"CMR07478","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1265",1265,"ETH18686","IA","65A.xIA","Endemic (MDA not delivered)"
"1266",1266,"CIV15397","IA","65A.xIA","Endemic (under MDA)"
"1267",1267,"CIV15398","IA","65A.xIA","Endemic (under MDA)"
"1269",1269,"NGA36890","IA","65A.xIA","Endemic (under MDA)"
"1270",1270,"NGA36368","IA","65A.xIA","Endemic (under MDA)"
"1271",1271,"CMR07474","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1272",1272,"CMR07477","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1273",1273,"TCD10735","IA","65A.xIA","Endemic (under MDA)"
"1275",1275,"SSD44372","IA","65A.xIA","Endemic (MDA not delivered)"
"1279",1279,"BFA05371","IA","65A.xIA","Endemic (under MDA)"
"1280",1280,"GHA21554","IA","65A.xIA","Endemic (under MDA)"
"1281",1281,"GHA21510","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1283",1283,"NGA36443","IA","65A.xIA","Endemic (under MDA)"
"1284",1284,"CMR07535","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1285",1285,"CMR07533","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1287",1287,"GHA21553","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"1288",1288,"NGA36690","IA","65A.xIA","Endemic (MDA not delivered)"
"1289",1289,"NGA36364","IA","65A.xIA","Endemic (under MDA)"
